fips,Communication,Economy,Education,Food and Water,Government,Healthcare Delivery and Public Health Services,Housing,Nurturing and Care,Population Well being,Transportation,Engineered Systems,Natural Systems,Preparedness,Deprivation,Inequality,Vulnerability,Social Cohesion
18111,0.476390088,0.49652474,0.427473637,0.503609749,0.321073011,0.416148841,0.440542839,0.476556757,0.440751994,0.456642248,0.532776724,0.612518693,0.501233137,0.521940801,0.609494524,0.488276387,0.496116603
18113,0.476390088,0.469137029,0.490019596,0.442383736,0.218915614,0.459441559,0.448256153,0.511603931,0.479607215,0.542497268,0.447816992,0.577048581,0.482462274,0.495124809,0.806059296,0.505892346,0.49513237
18115,0.476390088,0.438459574,0.513531925,0.564219673,0.314330237,0.408093653,0.55761272,0.634815618,0.486069199,0.418386877,0.508405952,0.553000935,0.519544993,0.528371276,0.630374306,0.551343556,0.394536572
18117,0.311858224,0.424253493,0.58907163,0.475056038,0.406532909,0.418369806,0.500133297,0.545968024,0.416969808,0.463519895,0.459210269,0.585964858,0.501233137,0.408909777,0.469272339,0.477756976,0.49152899
18119,0.311858224,0.392517345,0.43373755,0.364174638,0.286294251,0.403857013,0.45095828,0.530091749,0.445413607,0.50076869,0.468424864,0.59300652,0.501233137,0.474326212,0.703095152,0.502590752,0.508237382
18121,0.311858224,0.419653641,0.540147199,0.378938407,0.352904166,0.417474235,0.478564648,0.437837105,0.473043527,0.442177772,0.383247106,0.605043326,0.519544993,0.408162622,0.617819552,0.447590186,0.403037218
18123,0.476390088,0.476548253,0.469696819,0.538879837,0.412843703,0.499774423,0.574037123,0.550796561,0.496385321,0.418386877,0.446713847,0.59077419,0.554925679,0.528266273,0.609494524,0.472027305,0.524277302
18125,0.311858224,0.399816055,0.590482178,0.490568779,0.424196689,0.427466473,0.486897961,0.626332428,0.466086125,0.381462905,0.463690642,0.600162742,0.554925679,0.477364132,0.643010724,0.481557436,0.456633109
18127,0.641530679,0.558829182,0.473281695,0.485878725,0.362595653,0.509961356,0.436648066,0.467223913,0.578853842,0.409789573,0.502125631,0.610582488,0.422967629,0.573126765,0.584730913,0.570650207,0.453948649
18129,0.311858224,0.50683284,0.511271662,0.434604642,0.373301814,0.49343384,0.549276535,0.494982902,0.539800504,0.456642248,0.444654231,0.58649736,0.537432386,0.601935833,0.630374306,0.549917028,0.440423338
18131,0.476390088,0.540592724,0.541874062,0.399249138,0.427782391,0.449363075,0.512612334,0.618628545,0.446209207,0.565292603,0.48827925,0.599193644,0.46319282,0.46635032,0.63878944,0.464820499,0.493594546
18133,0.476390088,0.483029228,0.485975275,0.419527817,0.319020205,0.494962707,0.421785886,0.499519324,0.546739138,0.633613715,0.485121893,0.593442055,0.537432386,0.524740365,0.703095152,0.495048917,0.486842466
